Postion, Setpoint, Error, Speed, Voltage, Current
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 0, 25, 0, 0, 0
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 0, 0
0, 1, 5, 0, 0.0363636, 0
0, 1, 20, 0, 0.4, 0
0, 1, 45, 0, 0.4, 0.125
0, 1, 80, 0, 0.727273, 0.125
0, 1, 180, 0, 1.63636, 0.125
0, 1, 245, 0, 2.21818, 0.375
0.00138889, 1, 397, 0, 3.58788, 1.125
0.00138889, 1, 479, 0, 4.30303, 2.75
0.0236111, 1, 556, 2.08333, 4.8042, 2.75
0.0673611, 1, 686, 10.8333, 5.87439, 5.125
0.0673611, 1, 740, 30, 6.32805, 7.125
0.128472, 1, 788, 30, 6.71193, 7.125
0.206944, 1, 932, 61.25, 8.00313, 8.875
0.206944, 1, 966, 61.25, 8.25904, 8.875
0.302778, 1, 995, 102.917, 8.49169, 9.625
0.302778, 1, 1017, 102.917, 8.64291, 9.625
0.411111, 1, 1035, 151.667, 8.80577, 9.75
0.411111, 1, 1047, 151.667, 8.91046, 8.875
0.532639, 1, 1056, 201.25, 8.66716, 8.875
0.663194, 1, 1060, 247.917, 8.6784, 8.125
0.663194, 1, 1062, 247.917, 8.70088, 8.125
0.801389, 1, 1061, 289.167, 8.70088, 7.5
0.801389, 1, 1158, 289.167, 9.44282, 7.5
0.947917, 1, 1140, 325.417, 9.31916, 6.75
0.947917, 1, 1128, 325.417, 9.21799, 6.125
1.09792, 1, 1116, 356.25, 9.11681, 6.125
1.24722, 1, 1105, 381.667, 9.01564, 5.625
1.24722, 1, 1093, 381.667, 8.93695, 5.625
1.24722, 1, 1079, 381.667, 8.80205, 4.375
1.40069, 1, 1067, 401.667, 8.92786, 4.375
1.55139, 1, 1145, 415.833, 9.65455, 3.875
1.55139, 1, 1132, 415.833, 9.49306, 3.375
1.70278, 1, 1100, 430.417, 9.21623, 3
1.85972, 1, 1083, 430.417, 9.08935, 3
1.85972, 1, 1067, 433.75, 8.95093, 2.625
2.01667, 1, 1050, 433.75, 8.80098, 2.625
2.17292, 1, 1035, 437.083, 8.54721, 2.125
2.32569, 1, 1020, 440, 8.55132, 1.875
2.47431, 1, 1100, 441.667, 9.29032, 2.125
2.62292, 1, 1079, 440.833, 9.20821, 2.125
2.62292, 1, 1068, 440.833, 9.11437, 2.125
2.77292, 1, 1057, 437.5, 8.86804, 2.125
2.925, 1, 1019, 433.75, 8.55132, 2.125
3.07847, 1, 1005, 430.833, 8.55132, 2.125
3.07847, 1, 992, 430.833, 9.23167, 2.125
3.22778, 1, 1073, 430, 9.1261, 2.25
3.37431, 1, 1064, 430, 9.05572, 2.25
3.52083, 1, 1047, 429.583, 8.96188, 2.25
3.52083, 1, 1039, 429.583, 8.8915, 2.25
3.66736, 1, 1030, 427.917, 8.77419, 2.25
3.66736, 1, 1021, 427.917, 8.66862, 2.25
3.66736, 1, 1021, 425, 8.66862, 2.25
3.81389, 1, 1000, 425, 8.51613, 2.25
3.96528, 1, 1088, 422.083, 9.22825, 2.5
3.96528, 1, 1078, 422.083, 9.15816, 2.5
3.96528, 1, 1078, 422.083, 9.15816, 2.5
4.11458, 1, 1068, 421.25, 8.98294, 2.5
4.26319, 1, 1047, 421.667, 8.92454, 2.5
4.26319, 1, 1047, 421.667, 8.92454, 2.5
4.26319, 1, 1037, 421.667, 8.79604, 2.25
4.41111, 1, 1029, 423.333, 8.72595, 2.25
4.55556, 1, 1022, 424.167, 8.59746, 2.25
4.55556, 1, 1014, 424.167, 8.52737, 2.25
4.70139, 1, 1099, 423.333, 9.38011, 2.5
4.85069, 1, 1087, 422.083, 9.21657, 2.625
4.85069, 1, 1075, 422.083, 9.1348, 2.625
5.00139, 1, 1062, 420.833, 8.99462, 2.625
5.00139, 1, 1049, 420.833, 8.87781, 2.625
5.15417, 1, 1037, 421.25, 8.79604, 2.25
5.15417, 1, 1037, 421.25, 8.79604, 2.25
5.15417, 1, 1037, 421.25, 8.79604, 2.25
5.15417, 1, 1025, 421.25, 8.69091, 2.25
5.15417, 1, 1025, 421.25, 8.69091, 2.25
5.15417, 1, 1025, 421.25, 8.69091, 2.25
5.15417, 1, 1025, 421.25, 8.69091, 2.25
5.30208, 1, 1016, 423.75, 8.62082, 1.875
5.30208, 1, 1016, 423.75, 8.62082, 1.875
5.30208, 1, 1007, 425.417, 8.52737, 1.625
5.44653, 1, 1002, 425.417, 8.52737, 1.625
5.44653, 1, 1002, 425.417, 8.52737, 1.625
5.44653, 1, 1002, 425.417, 8.42224, 1.625
5.59097, 1, 988, 425.833, 8.41056, 1.625
5.59097, 1, 988, 425.833, 8.41056, 1.625
5.59097, 1, 988, 425.833, 8.41056, 1.625
5.59097, 1, 980, 425.833, 8.28206, 1.625
5.59097, 1, 980, 425.833, 8.31672, 1.625
5.73472, 1, 1068, 423.75, 9.11437, 2.125
5.87986, 1, 1059, 420, 9.06745, 2.25
5.87986, 1, 1059, 420, 9.06745, 2.25
5.87986, 1, 1059, 420, 9.06745, 2.25
6.02986, 1, 1037, 416.667, 8.80938, 2.5
6.17847, 1, 1026, 415.833, 8.71554, 2.25
6.17847, 1, 1018, 415.833, 8.60997, 2.25
6.32292, 1, 1003, 416.667, 8.53959, 2.25
6.46736, 1, 996, 417.917, 8.48094, 2.5
6.46736, 1, 1091, 417.917, 9.23617, 2.5
6.61111, 1, 1085, 418.333, 9.17801, 2.625
6.61111, 1, 1077, 418.333, 9.10821, 2.625
6.75625, 1, 1069, 417.5, 9.03842, 2.875
6.75625, 1, 1059, 417.5, 8.95699, 2.875
6.75625, 1, 1046, 416.25, 8.8174, 2.875
6.90694, 1, 1032, 416.25, 8.70108, 2.875
7.05833, 1, 1011, 416.25, 8.53822, 2.625
7.20625, 1, 899, 418.333, 7.53783, 2.125
7.20625, 1, 892, 418.333, 7.50293, 2.125
7.35069, 1, 886, 421.25, 7.60538, 0.75
7.48681, 1, 680, 421.667, 5.74839, 0.75
7.62153, 1, 685, 418.333, 5.84301, 0.375
